#gene_id	functional_anno
SpGA2022_008692-R0	Protein of unknown function
SpGA2022_008693-R0	Similar to EPHX4: Epoxide hydrolase 4 (Homo sapiens)
SpGA2022_008694-R0	Protein of unknown function
SpGA2022_008695-R0	Similar to KCS4: 3-ketoacyl-CoA synthase 4 (Arabidopsis thaliana)
SpGA2022_008696-R0	Protein of unknown function
SpGA2022_008697-R0	Protein of unknown function
SpGA2022_008698-R0	Similar to DCL: Protein DCL homolog%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008699-R0	Similar to ERF3: Ethylene-responsive transcription factor 3 (Arabidopsis thaliana)
SpGA2022_052554-R0	Similar to DSP1: Tyrosine-protein phosphatase DSP1 (Arabidopsis thaliana)
SpGA2022_052555-R0	Similar to PAP2: Probable plastid-lipid-associated protein 2%2C chloroplastic (Oryza sativa subsp. japonica)
SpGA2022_008702-R0	Similar to MOCS3-2: Adenylyltransferase and sulfurtransferase MOCS3-2 (Zea mays)
SpGA2022_008703-R0	Similar to At2g32990: Endoglucanase 11 (Arabidopsis thaliana)
SpGA2022_008704-R0	Protein of unknown function
SpGA2022_008705-R0	Similar to LIP1: Triacylglycerol lipase 1 (Arabidopsis thaliana)
SpGA2022_008706-R0	Protein of unknown function
SpGA2022_008707-R0	Protein of unknown function
SpGA2022_008708-R0	Similar to SKIP2: F-box protein SKIP2 (Arabidopsis thaliana)
SpGA2022_008709-R0	Similar to At1g47056: F-box protein At1g47056 (Arabidopsis thaliana)
SpGA2022_008710-R0	Similar to At1g47056: F-box protein At1g47056 (Arabidopsis thaliana)
SpGA2022_008711-R0	Similar to IRX14H: Probable beta-1%2C4-xylosyltransferase IRX14H (Arabidopsis thaliana)
SpGA2022_008712-R0	Similar to Os04g0650000: Oryzain alpha chain (Oryza sativa subsp. japonica)
SpGA2022_008713-R0	Similar to Os04g0650000: Oryzain alpha chain (Oryza sativa subsp. japonica)
SpGA2022_052556-R0	Similar to 2ODD33: 2-oxoglutarate-dependent dioxygenase 33 (Oryza sativa subsp. japonica)
SpGA2022_008715-R0	Similar to GMII: Alpha-mannosidase 2 (Arabidopsis thaliana)
SpGA2022_052557-R0	Similar to Zmynd15: Zinc finger MYND domain-containing protein 15 (Mus musculus)
SpGA2022_052558-R0	Protein of unknown function
SpGA2022_008718-R0	Similar to MYB73: Transcription factor MYB73 (Arabidopsis thaliana)
SpGA2022_052559-R0	Protein of unknown function
SpGA2022_008719-R0	Similar to RBCX1: Chaperonin-like RBCX protein 1%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008721-R0	Protein of unknown function
SpGA2022_008722-R0	Protein of unknown function
SpGA2022_008723-R0	Protein of unknown function
SpGA2022_008724-R0	Protein of unknown function
SpGA2022_008725-R0	Protein of unknown function
SpGA2022_008726-R0	Similar to FLA20: Putative fasciclin-like arabinogalactan protein 20 (Arabidopsis thaliana)
SpGA2022_052560-R0	Similar to DRP2B: Dynamin-2B (Arabidopsis thaliana)
SpGA2022_052561-R0	Similar to MOT2: General negative regulator of transcription subunit 4 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
SpGA2022_008729-R0	Protein of unknown function
SpGA2022_052562-R0	Similar to PIS1: CDP-diacylglycerol--inositol 3-phosphatidyltransferase 1 (Arabidopsis thaliana)
SpGA2022_008731-R0	Protein of unknown function
SpGA2022_052563-R0	Similar to PAB2: Polyadenylate-binding protein 2 (Arabidopsis thaliana)
SpGA2022_052564	Similar to rbpms2a: RNA-binding protein%2C mRNA-processing factor 2a (Danio rerio)
SpGA2022_052564-R0	Similar to rbpms2a: RNA-binding protein%2C mRNA-processing factor 2a (Danio rerio)
SpGA2022_052565-R0	Similar to KIN4A: Kinesin-like protein KIN-4A (Gossypium hirsutum)
SpGA2022_008736-R0	Protein of unknown function
SpGA2022_008737-R0	Protein of unknown function
SpGA2022_008738-R0	Protein of unknown function
SpGA2022_008739-R0	Similar to At5g67200: Probable inactive receptor kinase At5g67200 (Arabidopsis thaliana)
SpGA2022_008740-R0	Similar to IRX15-L: Protein IRX15-LIKE (Arabidopsis thaliana)
SpGA2022_052566-R0	Similar to EME1B: Crossover junction endonuclease EME1B (Arabidopsis thaliana)
SpGA2022_008742-R0	Protein of unknown function
SpGA2022_008743-R0	Similar to NLRC3: NLR family CARD domain-containing protein 3 (Homo sapiens)
SpGA2022_008744-R0	Protein of unknown function
SpGA2022_052567-R0	Similar to KEG: E3 ubiquitin-protein ligase KEG (Arabidopsis thaliana)
SpGA2022_008746-R0	Similar to TPRP-F1: 36.4 kDa proline-rich protein (Solanum lycopersicum)
SpGA2022_008747-R0	Protein of unknown function
SpGA2022_008748-R0	Similar to SURF1: Surfeit locus protein 1 (Arabidopsis thaliana)
SpGA2022_008749-R0	Protein of unknown function
SpGA2022_008750-R0	Similar to HHP4: Heptahelical transmembrane protein 4 (Arabidopsis thaliana)
SpGA2022_008751-R0	Similar to SBTM1: Subtilisin-like protease 1 (Lotus japonicus)
SpGA2022_008752-R0	Similar to spb1: AdoMet-dependent rRNA methyltransferase spb1 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
SpGA2022_008753-R0	Similar to Cnot10: CCR4-NOT transcription complex subunit 10 (Mus musculus)
SpGA2022_052568-R0	Similar to TPRP-F1: 36.4 kDa proline-rich protein (Solanum lycopersicum)
SpGA2022_008755-R0	Protein of unknown function
SpGA2022_008756-R0	Protein of unknown function
SpGA2022_052569-R0	Similar to SYT5: Synaptotagmin-5 (Arabidopsis thaliana)
SpGA2022_052570-R0	Similar to CLC-G: Putative chloride channel-like protein CLC-g (Arabidopsis thaliana)
SpGA2022_052571-R0	Similar to At4g32130: ER membrane protein complex subunit 7 homolog (Arabidopsis thaliana)
SpGA2022_008759-R0	Similar to SYCO: Cysteine--tRNA ligase%2C chloroplastic/mitochondrial (Arabidopsis thaliana)
SpGA2022_052572-R0	Similar to FBXL14: F-box/LRR-repeat protein 14 (Homo sapiens)
SpGA2022_008761-R0	Protein of unknown function
SpGA2022_008762-R0	Protein of unknown function
SpGA2022_008763-R0	Similar to Trypsin/chymotrypsin inhibitor (Alocasia macrorrhizos)
SpGA2022_008764-R0	Similar to Trypsin/chymotrypsin inhibitor (Alocasia macrorrhizos)
SpGA2022_008765-R0	Similar to CML31: Probable calcium-binding protein CML31 (Oryza sativa subsp. japonica)
SpGA2022_052573	Similar to At1g08370: mRNA-decapping enzyme-like protein (Arabidopsis thaliana)
SpGA2022_052573-R0	Similar to At1g08370: mRNA-decapping enzyme-like protein (Arabidopsis thaliana)
SpGA2022_008767-R0	Similar to ILL1: IAA-amino acid hydrolase ILR1-like 1 (Oryza sativa subsp. japonica)
SpGA2022_052574-R0	Similar to mcd4: GPI ethanolamine phosphate transferase 1 (Aspergillus oryzae (strain ATCC 42149 / RIB 40))
SpGA2022_052575-R0	Similar to NPK1: Mitogen-activated protein kinase kinase kinase NPK1 (Nicotiana tabacum)
SpGA2022_008770-R0	Similar to yuxK: Uncharacterized protein YuxK (Bacillus subtilis (strain 168))
SpGA2022_008771-R0	Similar to At1g27190: Probable inactive receptor kinase At1g27190 (Arabidopsis thaliana)
SpGA2022_008771-R1	Similar to At1g27190: Probable inactive receptor kinase At1g27190 (Arabidopsis thaliana)
SpGA2022_008772-R0	Protein of unknown function
SpGA2022_008773-R0	Similar to NAT6: Nucleobase-ascorbate transporter 6 (Arabidopsis thaliana)
SpGA2022_052577-R0	Protein of unknown function
SpGA2022_008774-R0	Protein of unknown function
SpGA2022_052578-R0	Protein of unknown function
SpGA2022_008778-R0	Similar to RSS3: Protein RICE SALT SENSITIVE 3 (Oryza sativa subsp. japonica)
SpGA2022_008779-R0	Similar to ATL48: RING-H2 finger protein ATL48 (Arabidopsis thaliana)
SpGA2022_008780-R0	Protein of unknown function
SpGA2022_008781-R0	Similar to PAR2: Transcription factor PAR2 (Arabidopsis thaliana)
SpGA2022_008782-R0	Similar to ATL47: RING-H2 finger protein ATL47 (Arabidopsis thaliana)
SpGA2022_008783-R0	Similar to TPS10: Probable alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 10 (Arabidopsis thaliana)
SpGA2022_008784-R0	Similar to ARB_01444: Probable endo-1%2C3(4)-beta-glucanase ARB_01444 (Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371))
SpGA2022_008785-R0	Similar to UGT90A1: UDP-glycosyltransferase 90A1 (Arabidopsis thaliana)
SpGA2022_008786-R0	Protein of unknown function
SpGA2022_008787-R0	Protein of unknown function
SpGA2022_008788-R0	Protein of unknown function
SpGA2022_052579-R0	Similar to utp7: Probable U3 small nucleolar RNA-associated protein 7 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
SpGA2022_008790-R0	Similar to At1g32220: Uncharacterized protein At1g32220%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008791-R0	Similar to SSL10: Protein STRICTOSIDINE SYNTHASE-LIKE 10 (Arabidopsis thaliana)
SpGA2022_008792-R0	Similar to STR1: Strictosidine synthase (Rauvolfia serpentina)
SpGA2022_052580-R0	Similar to STK16: Serine/threonine-protein kinase 16 (Homo sapiens)
SpGA2022_008794-R0	Similar to AIH: Agmatine deiminase (Medicago truncatula)
SpGA2022_008795-R0	Protein of unknown function
SpGA2022_008796-R0	Similar to LOH3: Ceramide synthase 1 LOH3 (Arabidopsis thaliana)
SpGA2022_008797-R0	Protein of unknown function
SpGA2022_008798-R0	Protein of unknown function
SpGA2022_008799-R0	Similar to At1g36730: Probable eukaryotic translation initiation factor 5-1 (Arabidopsis thaliana)
SpGA2022_052581-R0	Similar to TRAPPC6B: Trafficking protein particle complex subunit 6B (Homo sapiens)
SpGA2022_008801-R0	Similar to BHLH49: Transcription factor bHLH49 (Arabidopsis thaliana)
SpGA2022_008802-R0	Similar to WIT2: WPP domain-interacting tail-anchored protein 2 (Arabidopsis thaliana)
SpGA2022_008803-R0	Similar to UGT89B1: Flavonol 3-O-glucosyltransferase UGT89B1 (Arabidopsis thaliana)
SpGA2022_008804-R0	Similar to CRLK2: Calcium/calmodulin-regulated receptor-like kinase 2 (Arabidopsis thaliana)
SpGA2022_052582-R0	Similar to PI4KG7: Phosphatidylinositol 4-kinase gamma 7 (Arabidopsis thaliana)
SpGA2022_008806-R0	Protein of unknown function
SpGA2022_008807-R0	Protein of unknown function
SpGA2022_008808-R0	Protein of unknown function
SpGA2022_008809-R0	Similar to BIM1: Transcription factor BIM1 (Arabidopsis thaliana)
SpGA2022_052583-R0	Similar to BIM2: Transcription factor BIM2 (Arabidopsis thaliana)
SpGA2022_052584-R0	Similar to Os09g0247700: Auxin transport protein BIG (Oryza sativa subsp. japonica)
SpGA2022_008812-R0	Protein of unknown function
SpGA2022_008813-R0	Protein of unknown function
SpGA2022_052585-R0	Similar to NMAT4: Nuclear intron maturase 4%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_008815-R0	Protein of unknown function
SpGA2022_052586-R0	Similar to ABC1K7: Protein ACTIVITY OF BC1 COMPLEX KINASE 7%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008817-R0	Similar to At2g23930: Probable small nuclear ribonucleoprotein G (Arabidopsis thaliana)
SpGA2022_052587-R0	Similar to At5g47720: Probable acetyl-CoA acetyltransferase%2C cytosolic 2 (Arabidopsis thaliana)
SpGA2022_008819-R0	Similar to NOI4: Protein NOI4 (Arabidopsis thaliana)
SpGA2022_008820-R0	Protein of unknown function
SpGA2022_008821-R0	Similar to Polr1c: DNA-directed RNA polymerases I and III subunit RPAC1 (Mus musculus)
SpGA2022_008822-R0	Similar to PGLP2: Phosphoglycolate phosphatase 2 (Arabidopsis thaliana)
SpGA2022_008823-R0	Similar to PUB3: U-box domain-containing protein 3 (Arabidopsis thaliana)
SpGA2022_052588-R0	Similar to BST1: GPI inositol-deacylase (Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970))
SpGA2022_008825-R0	Similar to ABCG26: ABC transporter G family member 26 (Arabidopsis thaliana)
SpGA2022_008826-R0	Similar to NHL6: NDR1/HIN1-like protein 6 (Arabidopsis thaliana)
SpGA2022_008827-R0	Protein of unknown function
SpGA2022_008828-R0	Similar to CKA2: Casein kinase II subunit alpha-2 (Arabidopsis thaliana)
SpGA2022_008829-R0	Similar to DDB_G0290631: PXMP2/4 family protein 4 (Dictyostelium discoideum)
SpGA2022_008830-R0	Similar to At3g47200: UPF0481 protein At3g47200 (Arabidopsis thaliana)
SpGA2022_008831-R0	Similar to At3g47200: UPF0481 protein At3g47200 (Arabidopsis thaliana)
SpGA2022_008832-R0	Similar to At3g47200: UPF0481 protein At3g47200 (Arabidopsis thaliana)
SpGA2022_008833-R0	Similar to At3g47200: UPF0481 protein At3g47200 (Arabidopsis thaliana)
SpGA2022_052589-R0	Similar to UKL4: Uridine kinase-like protein 4 (Arabidopsis thaliana)
SpGA2022_008835-R0	Protein of unknown function
SpGA2022_052590-R0	Protein of unknown function
SpGA2022_008837-R0	Similar to PFK2: ATP-dependent 6-phosphofructokinase 2 (Arabidopsis thaliana)
SpGA2022_008837-R1	Similar to PFK2: ATP-dependent 6-phosphofructokinase 2 (Arabidopsis thaliana)
SpGA2022_008838-R0	Protein of unknown function
SpGA2022_008839-R0	Similar to COX15: Cytochrome c oxidase assembly protein COX15 (Arabidopsis thaliana)
SpGA2022_008840-R0	Similar to AGPB1: Glucose-1-phosphate adenylyltransferase small subunit%2C chloroplastic/amyloplastic (Fragment) (Beta vulgaris)
SpGA2022_008841-R0	Similar to THO3: THO complex subunit 3 (Arabidopsis thaliana)
SpGA2022_052592-R0	Protein of unknown function
SpGA2022_008843-R0	Similar to UBC28: Ubiquitin-conjugating enzyme E2 28 (Arabidopsis thaliana)
SpGA2022_008844-R0	Similar to TMN12: Transmembrane 9 superfamily member 12 (Arabidopsis thaliana)
SpGA2022_052593-R0	Protein of unknown function
SpGA2022_008846-R0	Protein of unknown function
SpGA2022_052594-R0	Similar to At4g26450: Uncharacterized protein At4g26450 (Arabidopsis thaliana)
SpGA2022_008848-R0	Similar to SrpRalpha: Signal recognition particle receptor subunit alpha homolog (Drosophila melanogaster)
SpGA2022_008849-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_008850-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_008851-R0	Protein of unknown function
SpGA2022_052595-R0	Similar to wss2: DNA-dependent metalloprotease WSS1 homolog 2 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
SpGA2022_008853-R0	Protein of unknown function
SpGA2022_052596-R0	Similar to MAP65-1: 65-kDa microtubule-associated protein 1 (Arabidopsis thaliana)
SpGA2022_008856-R0	Similar to TBC1D2: TBC1 domain family member 2A (Homo sapiens)
SpGA2022_052597-R0	Similar to EDM2: Protein ENHANCED DOWNY MILDEW 2 (Arabidopsis thaliana)
SpGA2022_008858-R0	Protein of unknown function
SpGA2022_008859-R0	Similar to GDPDL4: Glycerophosphodiester phosphodiesterase GDPDL4 (Arabidopsis thaliana)
SpGA2022_008860-R0	Similar to GDPDL4: Glycerophosphodiester phosphodiesterase GDPDL4 (Arabidopsis thaliana)
SpGA2022_008861-R0	Protein of unknown function
SpGA2022_008862-R0	Protein of unknown function
SpGA2022_008863-R0	Similar to GASA3: Gibberellin-regulated protein 3 (Arabidopsis thaliana)
SpGA2022_008864-R0	Similar to XYLT: Beta-1%2C2-xylosyltransferase (Arabidopsis thaliana)
SpGA2022_052598-R0	Similar to ANT: ADP%2CATP carrier protein%2C mitochondrial (Solanum tuberosum)
SpGA2022_008866-R0	Similar to WIP2: Zinc finger protein WIP2 (Arabidopsis thaliana)
SpGA2022_008867-R0	Protein of unknown function
SpGA2022_008868-R0	Similar to BHLH60: Transcription factor bHLH60 (Arabidopsis thaliana)
SpGA2022_008869-R0	Similar to DRT100: DNA damage-repair/toleration protein DRT100 (Arabidopsis thaliana)
SpGA2022_052599-R0	Similar to At3g52120: SURP and G-patch domain-containing protein 1-like protein (Arabidopsis thaliana)
SpGA2022_008871-R0	Protein of unknown function
SpGA2022_052600-R0	Protein of unknown function
SpGA2022_008873-R0	Similar to GNA1: Glucosamine 6-phosphate N-acetyltransferase (Arabidopsis thaliana)
SpGA2022_008873-R1	Similar to GNA1: Glucosamine 6-phosphate N-acetyltransferase (Arabidopsis thaliana)
SpGA2022_008874-R0	Protein of unknown function
SpGA2022_008875-R0	Protein of unknown function
SpGA2022_008876-R0	Similar to IRKI: IRK-interacting protein (Arabidopsis thaliana)
SpGA2022_052602-R0	Similar to FMT: Clustered mitochondria protein (Arabidopsis thaliana)
SpGA2022_008878-R0	Similar to FTIP1: FT-interacting protein 1 (Arabidopsis thaliana)
SpGA2022_008879-R0	Similar to TBCCD1: TBCC domain-containing protein 1 (Bos taurus)
SpGA2022_008880-R0	Similar to PSRP2: 30S ribosomal protein 2%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008881-R0	Similar to OEP163: Outer envelope pore protein 16-3%2C chloroplastic/mitochondrial (Arabidopsis thaliana)
SpGA2022_008882-R0	Protein of unknown function
SpGA2022_008883-R0	Similar to LOX2.1: Linoleate 13S-lipoxygenase 2-1%2C chloroplastic (Solanum tuberosum)
SpGA2022_008884-R0	Similar to LOX2: Lipoxygenase 2%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008885-R0	Similar to LOX2.1: Linoleate 13S-lipoxygenase 2-1%2C chloroplastic (Solanum tuberosum)
SpGA2022_008886-R0	Similar to LOX2.1: Linoleate 13S-lipoxygenase 2-1%2C chloroplastic (Solanum tuberosum)
SpGA2022_008886-R1	Similar to LOX2.1: Linoleate 13S-lipoxygenase 2-1%2C chloroplastic (Solanum tuberosum)
SpGA2022_008887-R0	Similar to LOX2.1: Linoleate 13S-lipoxygenase 2-1%2C chloroplastic (Solanum tuberosum)
SpGA2022_008888-R0	Similar to PPD3: PsbP domain-containing protein 3%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_052604-R0	Similar to trappc11: Trafficking protein particle complex subunit 11 (Danio rerio)
SpGA2022_008890-R0	Similar to PILS1: Protein PIN-LIKES 1 (Arabidopsis thaliana)
SpGA2022_008891-R0	Protein of unknown function
SpGA2022_052605-R0	Similar to ARID3: AT-rich interactive domain-containing protein 3 (Arabidopsis thaliana)
SpGA2022_052606-R0	Similar to DGAT2D: Diacylglycerol O-acyltransferase 2D (Glycine max)
SpGA2022_052607-R0	Similar to MED18: Mediator of RNA polymerase II transcription subunit 18 (Arabidopsis thaliana)
SpGA2022_052608-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_052609-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_052610-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_008897-R0	Protein of unknown function
SpGA2022_052611-R0	Similar to CCR1: Cinnamoyl-CoA reductase 1 (Petunia hybrida)
SpGA2022_008899-R0	Similar to HMGR1: 3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (Hevea brasiliensis)
SpGA2022_052612-R0	Similar to BIP131: Proton pump-interactor BIP131 (Oryza sativa subsp. japonica)
SpGA2022_008901-R0	Protein of unknown function
SpGA2022_052613-R0	Similar to SbtS: Subtilisin-like serine-protease S (Lotus japonicus)
SpGA2022_008903-R0	Protein of unknown function
SpGA2022_008904-R0	Similar to SPL15: Squamosa promoter-binding-like protein 15 (Oryza sativa subsp. japonica)
SpGA2022_052614-R0	Similar to LECRKS5: Probable L-type lectin-domain containing receptor kinase S.5 (Arabidopsis thaliana)
SpGA2022_008906-R0	Protein of unknown function
SpGA2022_052615-R0	Protein of unknown function
SpGA2022_008909-R0	Protein of unknown function
SpGA2022_052616-R0	Similar to DTX33: Protein DETOXIFICATION 33 (Arabidopsis thaliana)
SpGA2022_052617-R0	Similar to REP: Rab escort protein 1 (Arabidopsis thaliana)
SpGA2022_052618-R0	Protein of unknown function
SpGA2022_008912-R0	Protein of unknown function
SpGA2022_008913-R0	Similar to Os02g0799000: Probable protein phosphatase 2C 27 (Oryza sativa subsp. japonica)
SpGA2022_008914-R0	Protein of unknown function
SpGA2022_008915-R0	Similar to ALF4: Aberrant root formation protein 4 (Arabidopsis thaliana)
SpGA2022_008916-R0	Similar to BRH1: Brassinosteroid-responsive RING protein 1 (Arabidopsis thaliana)
SpGA2022_008917-R0	Similar to STP7: Sugar transport protein 7 (Arabidopsis thaliana)
SpGA2022_008918-R0	Protein of unknown function
SpGA2022_052619-R0	Protein of unknown function
SpGA2022_052620-R0	Similar to ASP5: Aspartate aminotransferase%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_052621-R0	Similar to DCL4: Endoribonuclease Dicer homolog 4 (Oryza sativa subsp. japonica)
SpGA2022_008922-R0	Similar to MCM5: DNA replication licensing factor MCM5 (Oryza sativa subsp. japonica)
SpGA2022_008923-R0	Similar to wdr76: WD repeat-containing protein 76 (Xenopus laevis)
SpGA2022_008924-R0	Protein of unknown function
SpGA2022_008925-R0	Similar to ERF003: Ethylene-responsive transcription factor ERF003 (Arabidopsis thaliana)
SpGA2022_008926-R0	Similar to CALS5: Callose synthase 5 (Arabidopsis thaliana)
SpGA2022_008927-R0	Similar to CALS5: Callose synthase 5 (Arabidopsis thaliana)
SpGA2022_008928-R0	Similar to ABHD17B: Alpha/beta hydrolase domain-containing protein 17B (Gallus gallus)
SpGA2022_052622-R0	Similar to RR22: Two-component response regulator ORR22 (Oryza sativa subsp. indica)
SpGA2022_008931-R0	Protein of unknown function
SpGA2022_008932-R0	Similar to TIL: Temperature-induced lipocalin-1 (Arabidopsis thaliana)
SpGA2022_052623-R0	Similar to PKL: CHD3-type chromatin-remodeling factor PICKLE (Arabidopsis thaliana)
SpGA2022_052624-R0	Similar to CLPB4: Chaperone protein ClpB4%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_008935-R0	Similar to PUB12: U-box domain-containing protein 12 (Oryza sativa subsp. japonica)
SpGA2022_052625-R0	Similar to UBP23: Ubiquitin carboxyl-terminal hydrolase 23 (Arabidopsis thaliana)
SpGA2022_008937-R0	Protein of unknown function
SpGA2022_008938-R0	Similar to WRKY76: WRKY transcription factor WRKY76 (Oryza sativa subsp. indica)
SpGA2022_008939-R0	Similar to PLMT: Phosphatidyl-N-methylethanolamine N-methyltransferase (Arabidopsis thaliana)
SpGA2022_052626-R0	Similar to NPY1: BTB/POZ domain-containing protein NPY1 (Arabidopsis thaliana)
SpGA2022_052627-R0	Similar to TMN8: Transmembrane 9 superfamily member 8 (Arabidopsis thaliana)
SpGA2022_008942-R0	Similar to At1g80870: Putative receptor-like protein kinase At1g80870 (Arabidopsis thaliana)
SpGA2022_008943-R0	Similar to At5g15350: Lamin-like protein (Arabidopsis thaliana)
SpGA2022_008944-R0	Protein of unknown function
SpGA2022_008945-R0	Similar to rplI: 50S ribosomal protein L9 (Solibacter usitatus (strain Ellin6076))
SpGA2022_008946-R0	Protein of unknown function
SpGA2022_008947-R0	Similar to At1g80880: Pentatricopeptide repeat-containing protein At1g80880%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_008948-R0	Similar to At3g25210: Pentatricopeptide repeat-containing protein At3g25210%2C mitochondrial (Arabidopsis thaliana)
SpGA2022_008949-R0	Protein of unknown function
SpGA2022_008950-R0	Similar to ATJ8: Chaperone protein dnaJ 8%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008951-R0	Protein of unknown function
SpGA2022_052628-R0	Similar to AUG8: AUGMIN subunit 8 (Arabidopsis thaliana)
SpGA2022_008953-R0	Similar to Cbei_0202: Uncharacterized protein Cbei_0202 (Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052))
SpGA2022_008954-R0	Similar to CNB1: Calcineurin subunit B (Naegleria gruberi)
SpGA2022_052629-R0	Similar to MYOB7: Myosin-binding protein 7 (Arabidopsis thaliana)
SpGA2022_052630-R0	Similar to ATG11: Autophagy-related protein 11 (Arabidopsis thaliana)
SpGA2022_008956-R0	Similar to ATG11: Autophagy-related protein 11 (Arabidopsis thaliana)
SpGA2022_008958-R0	Similar to HDR1: Protein HEADING DATE REPRESSOR 1 (Oryza sativa subsp. japonica)
SpGA2022_008959-R0	Similar to At5g11010: Polynucleotide 5'-hydroxyl-kinase NOL9 (Arabidopsis thaliana)
SpGA2022_008960-R0	Similar to NUP43: Nuclear pore complex protein NUP43 (Arabidopsis thaliana)
SpGA2022_052631-R0	Protein of unknown function
SpGA2022_052632-R0	Similar to AFG1L: AFG1-like ATPase (Homo sapiens)
SpGA2022_008963-R0	Similar to DDB_G0275467: 5'-nucleotidase domain-containing protein DDB_G0275467 (Dictyostelium discoideum)
SpGA2022_008964-R0	Protein of unknown function
SpGA2022_052633-R0	Similar to RAD23B: Ubiquitin receptor RAD23b (Arabidopsis thaliana)
SpGA2022_008966-R0	Protein of unknown function
SpGA2022_008967-R0	Similar to TET8: Tetraspanin-8 (Arabidopsis thaliana)
SpGA2022_008968-R0	Protein of unknown function
SpGA2022_008969-R0	Similar to ATL13: RING-H2 finger protein ATL13 (Arabidopsis thaliana)
SpGA2022_008969-R1	Similar to ATL13: RING-H2 finger protein ATL13 (Arabidopsis thaliana)
SpGA2022_052635-R0	Similar to TAD3: tRNA-specific adenosine deaminase TAD3 (Arabidopsis thaliana)
SpGA2022_008971-R0	Protein of unknown function
SpGA2022_008972-R0	Similar to ENAP2: Trihelix transcription factor ENAP2 (Arabidopsis thaliana)
SpGA2022_008973-R0	Protein of unknown function
SpGA2022_008974-R0	Protein of unknown function
SpGA2022_052636-R0	Protein of unknown function
SpGA2022_008975-R0	Protein of unknown function
SpGA2022_008975-R1	Protein of unknown function
SpGA2022_008976-R0	Protein of unknown function
SpGA2022_052638-R0	Protein of unknown function
SpGA2022_008978-R0	Similar to TPS8: Probable alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 8 (Arabidopsis thaliana)
SpGA2022_008978-R1	Similar to TPS8: Probable alpha%2Calpha-trehalose-phosphate synthase [UDP-forming] 8 (Arabidopsis thaliana)
SpGA2022_008979-R0	Protein of unknown function
SpGA2022_008980-R0	Similar to RSZP21: Serine/arginine-rich splicing factor RSZ21 (Oryza sativa subsp. japonica)
SpGA2022_008981-R0	Protein of unknown function
SpGA2022_008982-R0	Protein of unknown function
SpGA2022_008982-R1	Protein of unknown function
SpGA2022_008982-R2	Protein of unknown function
SpGA2022_008983-R0	Protein of unknown function
SpGA2022_052642-R0	Protein of unknown function
SpGA2022_008985-R0	Protein of unknown function
SpGA2022_008986-R0	Protein of unknown function
SpGA2022_008987-R0	Protein of unknown function
SpGA2022_008988-R0	Similar to CNGC14: Probable cyclic nucleotide-gated ion channel 14 (Arabidopsis thaliana)
SpGA2022_052643-R0	Similar to SCY1: Preprotein translocase subunit SCY1%2C chloroplastic (Arabidopsis thaliana)
SpGA2022_008990-R0	Similar to GLR2.7: Glutamate receptor 2.7 (Arabidopsis thaliana)
SpGA2022_008991-R0	Protein of unknown function
SpGA2022_008992-R0	Similar to GLR2.8: Glutamate receptor 2.8 (Arabidopsis thaliana)
SpGA2022_008993-R0	Protein of unknown function
SpGA2022_008994-R0	Similar to UTR7: UDP-galactose/UDP-glucose transporter 7 (Arabidopsis thaliana)
SpGA2022_008995-R0	Similar to CSLC8: Probable xyloglucan glycosyltransferase 8 (Arabidopsis thaliana)
SpGA2022_008996-R0	Similar to GLR2.9: Glutamate receptor 2.9 (Arabidopsis thaliana)
SpGA2022_052644-R0	Similar to GLR2.5: Glutamate receptor 2.5 (Arabidopsis thaliana)
SpGA2022_052645-R0	Protein of unknown function
SpGA2022_008999-R0	Similar to COL3: Zinc finger protein CONSTANS-LIKE 3 (Arabidopsis thaliana)
